"lakeid","hydro","estimate"
"CB",2010,-0.027879621457756
"CB",2011,0.000240214498834527
"CB",2012,-0.0477804264171957
"CB",2013,-0.0752906184827012
"CB",2014,-0.0148243136432582
"CB",2015,-0.0115651146059519
"CB",2016,-0.077835940872543
"CB",2017,-0.0503866738116845
"CB",2018,-0.0263996831601343
"CB",2019,0.0149324202137789
"CR",1982,-0.0380655079138428
"CR",1983,-0.00935415366435633
"CR",1984,-0.00575517302865751
"CR",1985,-0.0116804076148685
"CR",1986,-0.00444188060791378
"CR",1987,-0.0033561645803466
"CR",1988,-0.00433763786068942
"CR",1989,-0.0331703548809767
"CR",1990,-0.0174984434396716
"CR",1991,-0.0181489017947388
"CR",1992,-0.0169230829083663
"CR",1993,-0.0264378415770754
"CR",1994,0.00893929579082618
"CR",1995,-0.0371721318381254
"CR",1996,-0.00944565492412155
"CR",1997,-0.00575322915595698
"CR",1998,-0.00258366648311209
"CR",1999,-0.0103323251749699
"CR",2000,-0.0403245264479501
"CR",2001,-0.00329478050219826
"CR",2002,-0.0257337694750616
"CR",2003,-0.0243031759327837
"CR",2004,-0.0293044915627784
"CR",2005,-0.017384210450075
"CR",2006,-0.0105702876408241
"CR",2007,-0.0157833070652469
"CR",2008,-0.0267021206764538
"CR",2009,-0.00435574146344525
"CR",2010,-0.0228252062645126
"CR",2011,-0.0170597515105406
"CR",2012,-0.0271758876961188
"CR",2013,-0.0205193506965931
"CR",2014,-0.0211462516508553
"CR",2015,-0.00689992626428425
"CR",2016,-0.0217454519345961
"CR",2017,-0.0138883597212296
"CR",2018,-0.0201282953182753
"CR",2019,-0.0206572894850129
"SP",1982,-0.0412139029360736
"SP",1983,-0.0256825530019106
"SP",1984,-0.0059658272885927
"SP",1985,-0.0112008834359112
"SP",1986,-0.0247808693773782
"SP",1987,-0.00516318511672378
"SP",1988,-0.00488555304947338
"SP",1989,-0.0393533975328979
"SP",1990,-0.00332153514572803
"SP",1991,-0.0192582278753213
"SP",1992,-0.0183937245845984
"SP",1993,-0.0249758179542124
"SP",1994,-0.0113980914147198
"SP",1995,-0.0203300314855439
"SP",1996,-0.0161843549925761
"SP",1997,-0.0073544969230381
"SP",1998,-0.0412359768411206
"SP",1999,-0.0157357195686308
"SP",2000,-0.0331942116469582
"SP",2001,-0.00839001198079662
"SP",2002,-0.024090798374024
"SP",2003,-0.0376188516719559
"SP",2004,-0.0224523035877414
"SP",2005,-0.0216775653839845
"SP",2006,-0.0166681678608167
"SP",2007,-0.0217735533048731
"SP",2008,-0.0216850761726405
"SP",2009,-0.00787493950236117
"SP",2010,-0.034596740986396
"SP",2011,-0.00475852379253772
"SP",2012,-0.0193152531529885
"SP",2013,-0.0242182466805969
"SP",2014,-0.0195333666797833
"SP",2015,-0.014605582321359
"SP",2016,-0.0155728227094641
"SP",2017,-0.00771428803824952
"SP",2018,-0.0116962432059596
"SP",2019,-0.028504779240511
"TB",1982,-0.0303503836976078
"TB",1983,-0.0255650206095198
"TB",1984,-0.00916041188986421
"TB",1985,-0.00325946756270395
"TB",1986,0.00807689514674545
"TB",1987,-0.00387128065961214
"TB",1988,-0.0166442840031754
"TB",1989,-0.0395035810280726
"TB",1990,-0.0190169228421431
"TB",1991,-0.0200737988135688
"TB",1992,-0.0355119642528294
"TB",1993,-0.0213603194716295
"TB",1994,-0.0154780909304829
"TB",1995,-0.00627245863050069
"TB",1996,-0.0318563982645509
"TB",1997,-0.0122459750983389
"TB",1998,0.00661160256471905
"TB",1999,-0.0268383191289674
"TB",2000,-0.0342327403349939
"TB",2001,0.00452517512143912
"TB",2002,0.00189488152603968
"TB",2003,0.0191185118716735
"TB",2004,0.00809693211872558
"TB",2005,0.00530341439262421
"TB",2006,0.0122030510711801
"TB",2007,-0.0212683327704615
"TB",2008,-0.000282421354435282
"TB",2009,0.00303551128498791
"TB",2010,-0.0293565331404531
"TB",2011,-0.0060891410184366
"TB",2012,0.00333166366926618
"TB",2013,-0.0152961376862891
"TB",2014,0.000627586797505608
"TB",2015,0.000176674898529148
"TB",2016,0.00592581154626552
"TB",2017,0.038134726556764
"TB",2018,0.000160304071938442
"TB",2019,0.0117829341684327
"TR",1982,-0.0802357736335229
"TR",1983,-0.00787509379922974
"TR",1984,-0.0126376646308226
"TR",1985,-0.0120664091610895
"TR",1986,-0.0135764670791134
"TR",1987,-0.0128372207985007
"TR",1988,-0.008346159961584
"TR",1989,-0.0107258632206541
"TR",1990,-0.02342457698536
"TR",1991,-0.0190187697448709
"TR",1992,-0.0167270072929405
"TR",1993,-0.0282638902613988
